カード番号,カード名,カード種類,カードタイプ,色,レベル,コスト,パワー,効果テキスト,ライフバースト,使用タイミング
WX24-D4-24,幻獣神　キメラ,シグニ,奏生：地獣,緑,3,-,10000,【出】：あなたのデッキの上からカードを３枚見る。その中から＜地獣＞のシグニを２枚までこのシグニの下に置き、残りを好きな順番でデッキの一番下に置く。【起】このシグニの下からカード１枚をトラッシュに置く：あなたのシグニ１体を対象とし、ターン終了時まで、それのパワーを＋3000する。【起】《緑》このシグニの下からカード１枚をトラッシュに置く：ターン終了時まで、このシグニは【ランサー】を得る。,―,―
WX24-D4-26,サーバント　#,シグニ,奏元,無,1,-,1000,【ガード】（このカードを手札から捨てることで、ルリグのアタックによるダメージを一度防ぐ）【常】：【マルチエナ】（エナコストを支払う際、このカードは好きな色１つとして支払える）,ライフバースト：あなたのトラッシュからシグニ１枚を対象とし、それを手札に加える。,―
WX24-D4-25,芽吹,スペル,-,緑,-,《緑》×１,-,【エナチャージ２】をする。《リコレクトアイコン》［５枚以上］その後、追加であなたのエナゾーンから緑のシグニを１枚まで対象とし、それを場に出す。,ライフバースト：【エナチャージ１】をする。その後、あなたのエナゾーンからシグニを１枚まで対象とし、それを手札に加えるか場に出す。,―
WX24-D4-17,幻水　カミツキガメ,シグニ,奏生：水獣,緑,2,-,8000,【自】：あなたのターン終了時、あなたの手札からカード１枚をエナゾーンに置いてもよい。【出】《無》《無》《無》：カードを２枚引く。,ライフバースト：【エナチャージ１】をする。このターン、次にあなたがシグニによってダメージを受ける場合、代わりにダメージを受けない。,―
WX24-D4-15,幻闘獣　ミスザク,シグニ,奏生：地獣,緑,2,-,5000,【出】《緑》：ターン終了時まで、このシグニは【ランサー（パワー5000以下のシグニ）】を得る。（【ランサー（パワー5000以下のシグニ）】を持つシグニがバトルでパワー5000以下のシグニをバニッシュしたとき、対戦相手のライフクロス１枚をクラッシュする）,―,―
WX24-D3-10,ミラクル・チャージング,アーツ,-,無,-,《無》×０,-,カードを３枚引くか【エナチャージ３】をする。,―,アタックフェイズ
WX24-D4-20,幻獣神　セイリュ,シグニ,奏生：地獣,緑,3,-,10000,【出】《緑》《緑》：ターン終了時まで、このシグニは【ランサー】を得る。《リコレクトアイコン》［５枚以上］代わりにターン終了時まで、このシグニは【Ｓランサー】を得る。（【Ｓランサー】を持つシグニがバトルでシグニをバニッシュしたとき、対戦相手のライフクロスがある場合はそれを１枚クラッシュする。無い場合は対戦相手にダメージを与える）,ライフバースト：どちらか１つを選ぶ。①対戦相手のアップ状態のシグニ１体を対象とし、それをバニッシュする。②【エナチャージ１】,―
WX24-D3-06,エレキ・ランス,アーツ,-,青,-,《青》×０,-,対戦相手のシグニ１体を対象とし、ターン終了時まで、それのパワーを－8000する。あなたのデッキの上からカードを４枚見る。その中から青のカードを２枚まで公開し手札に加え、残りを好きな順番でデッキの一番下に置く。,―,メインフェイズ
WX24-D4-22,幻獣神　オサギツネ,シグニ,奏生：地獣,緑,3,-,12000,【自】：このシグニがアタックしたとき、このターンにあなたのデッキからカードが１枚以上エナゾーンに移動していた場合、対戦相手のパワー12000以上のシグニ１体を対象とし、《緑》《無》を支払ってもよい。そうした場合、それをバニッシュする。【出】：他のシグニを２体まで対象とし、ターン終了時まで、それらのパワーを＋5000する。,―,―
WX24-D3-14,コードアート　ピルルク//メモリア,シグニ,奏械：電機,青,1,-,3000,【出】手札からスペルを１枚捨てる：あなたのデッキの上からカードを３枚見る。その中から好きな枚数のカードを好きな順番でデッキの一番上に戻し、残りを好きな順番でデッキの一番下に置く。カードを１枚引く。,―,―
WX24-D3-01,コード・ピルルク,ルリグ,ピルルク,青,0,-,-,―,―,―
WX24-D3-07,エターナル・ホース・ブリザード,アーツ,-,青,-,《青》×１ 《無》×１,-,対戦相手のパワー8000以下のシグニ１体を対象とし、それをデッキの一番下に置く。《リコレクトアイコン》［４枚以上］代わりに対戦相手のシグニ１体を対象とし、それをデッキの一番下に置く。（あなたのルリグトラッシュに４枚以上のアーツがあるかぎり《リコレクトアイコン》［４枚以上］に続く文章が有効になる）,―,アタックフェイズ
WX24-D3-04,コード・ピルルク・Ω2,ルリグ,ピルルク,青,3,-,-,【起】《ターン２回》手札から青のシグニを１枚捨てる：対戦相手の手札を１枚見ないで選び、捨てさせる。【起】《ゲーム１回》《青×0》：対戦相手のルリグ１体とシグニ１体を対象とし、それらを凍結する。（凍結されたルリグとシグニは次の自分のアップフェイズにアップしない）,―,―
WX24-D3-16,蒼魔　フォカロル,シグニ,奏像：悪魔,青,2,-,10000,―,ライフバースト：対戦相手のシグニを２体まで対象とし、それらをダウンする。カードを１枚引く。,―
WX24-D3-03,コード・ピルルク・Ｍ,ルリグ,ピルルク,青,2,-,-,―,―,―
WX24-D3-02,コード・ピルルク・Ｋ,ルリグ,ピルルク,青,1,-,-,―,―,―
WX24-D3-08,ドント・ムーブ・オン,アーツ,-,青,-,《青》×１ 《無》×３,-,対戦相手のルリグとシグニを合計２体まで対象とし、それらをダウンする。,―,アタックフェイズ
WX24-D3-05,クール・スラップ,アーツ,-,青,-,《青》×１,-,対戦相手のシグニ１体を対象とし、それをデッキの一番下に置く。対戦相手の手札を１枚見ないで選び、捨てさせる。,―,メインフェイズ
WX24-D3-11,コードエレキ　Ｓカイキャット,シグニ,奏械：電機,青,1,-,2000,【自】：このシグニがアタックしたとき、このターンにあなたが青のアーツを使用していた場合、カードを１枚引く。,―,―
WX24-D3-13,コードメイズ　ウムル//メモリア,シグニ,奏械：迷宮,青,1,-,2000,【出】：あなたのデッキの一番上を見る。そのカードをデッキの一番下に置いてもよい。【起】このシグニを場からデッキの一番下に置く：あなたのデッキの一番上を公開する。そのカードが《コードメイズ ウムル//メモリア》以外のシグニの場合、そのシグニを場に出してもよい。,ライフバースト：あなたのデッキの上からカードを３枚見る。その中からシグニ１枚を公開し手札に加えるか場に出し、残りを好きな順番でデッキの一番下に置く。,―
WX24-D4-23,翠美姫　コンテンポラ,シグニ,奏像：美巧,緑,3,-,12000,【常】《相手ターン》：あなたのシグニは【シャドウ（レベル１）】と【シャドウ（レベル２）】を得る。【自】：このカードが対戦相手の効果によっていずれかの領域からトラッシュに置かれたとき、《無》を支払ってもよい。そうした場合、このシグニをトラッシュから手札に加える。,ライフバースト：どちらか１つを選ぶ。①対戦相手のアップ状態のシグニ１体を対象とし、それをバニッシュする。②【エナチャージ１】,―
WX24-D3-18,幻蟲　スノセク,シグニ,奏生：凶蟲,青,2,-,8000,【自】：あなたのターン終了時、このターンにあなたがカードを２枚以上捨てていた場合、次の対戦相手のターン終了時まで、このシグニのパワーを＋4000する。【出】：カードを１枚引き、手札を１枚捨てる。,ライフバースト：対戦相手のシグニ１体を対象とし、それをダウンし凍結する。カードを１枚引く。,―
WX24-D3-09,ドロー・エンハンス,アーツ,-,無,-,《無》×０,-,カードを２枚引く。あなたのルリグゾーンに【リミットアッパー】１つを置く。,―,メインフェイズ
